population,average_age,average_health,average_stress,average_bank_balance,average_debt,gini_coefficient,unemployment_rate,average_education,hospital_strain,death_toll,average_life_expectancy,tick,government_capital,private_capital
146,33.51803268001416,64.77185748362756,28.25103113228689,334.5911763617609,7.8553320341169375,0.6461849010831502,0.7032967032967034,0.3109166391581307,0.0,4,44.77262276771865,25,11420.114894589125,5726.983390647119
145,33.60061658025911,63.86262476716119,29.436260404880517,340.73906487549584,10.453862969496937,0.6535960780802867,0.7142857142857143,0.30825427263076377,0.0,5,40.20677164307428,26,11818.086340452528,5771.190844478019
143,33.69870407947778,64.2067725224598,28.915894455356103,350.9275201814085,14.154935166694967,0.6566688021837526,0.6813186813186813,0.3065065257724684,0.0,7,36.372262751656116,27,12218.697148486799,5771.91037209366
143,33.70144380550517,63.26169273170728,30.254637288943364,355.1064366628588,16.170678424032968,0.6666303226134171,0.7252747252747253,0.3065065257724684,0.0,7,36.372262751656116,28,12608.18338247485,5673.678903061096
143,33.70418353153257,62.577510683950365,30.837953489497128,360.2311139121642,19.737813869845176,0.6732127678395785,0.6813186813186813,0.3065065257724684,0.0,7,36.372262751656116,29,13009.557499821305,5783.62308834799
141,33.68437264730701,63.56959973332642,30.37420264542122,370.87334555966765,22.877312957828316,0.6781710722230223,0.7,0.3057031562665253,0.0,9,36.13325798026445,30,13396.130712190323,5607.1768618601
140,33.74646548794609,63.46307429179834,30.919719597428866,378.1510275033809,26.34228129604006,0.6850332716462373,0.7111111111111111,0.30554905869949983,0.0,10,35.05769981500788,31,13777.483110079647,5631.604996772467
140,33.74920521397349,63.28704392758706,31.477646107655534,382.3352638729561,29.349540338209792,0.6952761450753868,0.6888888888888889,0.30554905869949983,0.0,10,35.05769981500788,32,14178.13677493725,5710.943563740463
140,33.75194494000089,62.42409637161775,32.64802236641826,390.3767446685045,32.72904137569222,0.7015202275375614,0.6777777777777778,0.30554905869949983,0.0,10,35.05769981500788,33,14540.161580066298,5400.442889033647
140,33.75468466602829,62.18994661207671,33.139035048143626,395.48786114319705,36.39426696759597,0.711742631452104,0.6555555555555556,0.30554905869949983,0.0,10,35.05769981500788,34,14920.620411439651,5550.140147311327
139,33.8171212448471,61.43119548891044,34.21256995501389,405.33693903504013,40.58144953939599,0.7156510730612342,0.7,0.307113797281649,0.0,11,34.185141818557106,35,15280.569866432877,5364.691990542209
139,33.819860970874494,61.62893758486382,34.54611428764887,413.16963511185094,46.282397728566,0.7214245513162396,0.6555555555555556,0.307113797281649,0.0,11,34.185141818557106,36,15640.860882683988,5419.162607211939
138,33.83840371681103,60.76216063981642,35.32479573242009,424.8967376875454,52.163216789857415,0.7241765569588152,0.6741573033707865,0.30617593365478296,0.0,12,33.97319532946418,37,15989.559304067197,5214.683128148986
